36337612,Mar/17/2018 01:06,daleks,779C - Dishonest Sellers,Python 3,Accepted,280 ms,24200 KB,2018-03-17 01:06:00
31879491,Oct/30/2017 04:23,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,343 ms,17600 KB,2017-10-30 04:23:00
31853229,Oct/29/2017 03:36,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,404 ms,17600 KB,2017-10-29 03:36:00
31879481,Oct/30/2017 04:21,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,342 ms,17600 KB,2017-10-30 04:21:00
25038483,Feb/26/2017 11:41,Black_Fregat,779C - Dishonest Sellers,Python 3,Accepted,343 ms,22200 KB,2017-02-26 11:41:00
25471494,Mar/14/2017 14:26,Dawn_Smith,779C - Dishonest Sellers,Python 3,Accepted,389 ms,22200 KB,2017-03-14 14:26:00
71897760,Feb/26/2020 09:26,darkshadow07,779C - Dishonest Sellers,Python 3,Accepted,373 ms,18200 KB,2020-02-26 09:26:00
75596786,Apr/05/2020 21:15,paras555,779C - Dishonest Sellers,PyPy 3,Accepted,374 ms,22300 KB,2020-04-05 21:15:00
25053157,Feb/26/2017 15:06,Vosatorp,779C - Dishonest Sellers,PyPy 3,Accepted,685 ms,39600 KB,2017-02-26 15:06:00
79217654,May/07/2020 03:50,guh1,779C - Dishonest Sellers,Python 3,Accepted,358 ms,24700 KB,2020-05-07 03:50:00
76278014,Apr/12/2020 05:05,NyX,779C - Dishonest Sellers,Python 3,Accepted,327 ms,18100 KB,2020-04-12 05:05:00
25041547,Feb/26/2017 12:00,Menci,779C - Dishonest Sellers,Python 3,Accepted,327 ms,22200 KB,2017-02-26 12:00:00
72948182,Mar/11/2020 13:59,Aidos,779C - Dishonest Sellers,Python 3,Accepted,343 ms,18200 KB,2020-03-11 13:59:00
57770124,Jul/26/2019 02:48,py_ultron,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,1600 KB,2019-07-26 02:48:00
25039051,Feb/26/2017 11:44,Drozd_off,779C - Dishonest Sellers,Python 3,Accepted,389 ms,22200 KB,2017-02-26 11:44:00
31880059,Oct/30/2017 05:28,farah26,779C - Dishonest Sellers,Python 3,Accepted,514 ms,17600 KB,2017-10-30 05:28:00
36761197,Mar/31/2018 04:09,Lewin,779C - Dishonest Sellers,PyPy 2,Accepted,217 ms,37100 KB,2018-03-31 04:09:00
25108492,Feb/28/2017 22:01,UnusedFever,779C - Dishonest Sellers,Python 3,Accepted,701 ms,29600 KB,2017-02-28 22:01:00
52258008,Apr/03/2019 10:04,weirdflex,779C - Dishonest Sellers,Python 3,Accepted,342 ms,18200 KB,2019-04-03 10:04:00
71571021,Feb/21/2020 22:07,mostafaelspagh-0#,779C - Dishonest Sellers,Python 3,Accepted,342 ms,18200 KB,2020-02-21 22:07:00
25045998,Feb/26/2017 12:40,ramym,779C - Dishonest Sellers,Python 3,Accepted,468 ms,25500 KB,2017-02-26 12:40:00
31880036,Oct/30/2017 05:26,farah26,779C - Dishonest Sellers,Python 3,Accepted,499 ms,17600 KB,2017-10-30 05:26:00
52716423,Apr/13/2019 20:37,gestzzz,779C - Dishonest Sellers,Python 3,Accepted,373 ms,17700 KB,2019-04-13 20:37:00
41770153,Aug/18/2018 18:09,cs1g,779C - Dishonest Sellers,Python 3,Accepted,795 ms,34800 KB,2018-08-18 18:09:00
25034839,Feb/26/2017 11:24,Boterphile,779C - Dishonest Sellers,Python 3,Accepted,545 ms,27500 KB,2017-02-26 11:24:00
25035826,Feb/26/2017 11:28,yigitozen,779C - Dishonest Sellers,PyPy 3,Accepted,1185 ms,49800 KB,2017-02-26 11:28:00
26346393,Apr/13/2017 22:35,thelastprime,779C - Dishonest Sellers,Python 3,Accepted,342 ms,22700 KB,2017-04-13 22:35:00
37843600,May/02/2018 18:01,DevilJin,779C - Dishonest Sellers,Python 3,Accepted,390 ms,24700 KB,2018-05-02 18:01:00
25036086,Feb/26/2017 11:29,TangentOfA,779C - Dishonest Sellers,Python 2,Accepted,390 ms,19200 KB,2017-02-26 11:29:00
25052534,Feb/26/2017 14:50,TangentOfA,779C - Dishonest Sellers,PyPy 2,Accepted,171 ms,37500 KB,2017-02-26 14:50:00
62366171,Oct/11/2019 16:54,kumargaurav,779C - Dishonest Sellers,PyPy 3,Accepted,405 ms,17800 KB,2019-10-11 16:54:00
25043140,Feb/26/2017 12:12,coderbd,779C - Dishonest Sellers,Python 2,Accepted,467 ms,21800 KB,2017-02-26 12:12:00
31879618,Oct/30/2017 04:37,farah26,779C - Dishonest Sellers,Python 3,Accepted,436 ms,17600 KB,2017-10-30 04:37:00
25061770,Feb/26/2017 21:06,pranet,779C - Dishonest Sellers,PyPy 3,Accepted,389 ms,50700 KB,2017-02-26 21:06:00
25143772,Mar/02/2017 12:32,anjalisingh.knp,779C - Dishonest Sellers,GNU C++14,Accepted,514 ms,3400 KB,2017-03-02 12:32:00
28287490,Jul/04/2017 21:38,aniruddha26398,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,3400 KB,2017-07-04 21:38:00
35148212,Feb/11/2018 12:51,WesMorgan_5,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,3400 KB,2018-02-11 12:51:00
40212709,Jul/12/2018 01:29,sachin10101998,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,1600 KB,2018-07-12 01:29:00
57561161,Jul/23/2019 03:46,Mohamed_99,779C - Dishonest Sellers,GNU C++11,Accepted,607 ms,1600 KB,2019-07-23 03:46:00
57875246,Jul/28/2019 07:50,lopare,779C - Dishonest Sellers,GNU C++11,Accepted,607 ms,1600 KB,2019-07-28 07:50:00
58996279,Aug/18/2019 14:32,marcus_auz,779C - Dishonest Sellers,GNU C++14,Accepted,873 ms,1600 KB,2019-08-18 14:32:00
65932669,Nov/29/2019 01:13,Baniya_09,779C - Dishonest Sellers,GNU C++17,Accepted,468 ms,1600 KB,2019-11-29 01:13:00
67130476,Dec/18/2019 02:23,Coder_95,779C - Dishonest Sellers,GNU C++17,Accepted,499 ms,1600 KB,2019-12-18 02:23:00
75079353,Apr/01/2020 15:36,Baba-Yaga-0,779C - Dishonest Sellers,GNU C++17,Accepted,483 ms,1800 KB,2020-04-01 15:36:00
77603816,Apr/22/2020 06:26,iamkshat01,779C - Dishonest Sellers,GNU C++14,Accepted,468 ms,1600 KB,2020-04-22 06:26:00
25056787,Feb/26/2017 17:04,freecss0540,779C - Dishonest Sellers,Python 3,Accepted,670 ms,31300 KB,2017-02-26 17:04:00
25533237,Mar/15/2017 23:56,sunhong,779C - Dishonest Sellers,Python 3,Accepted,545 ms,27500 KB,2017-03-15 23:56:00
47831665,Jan/02/2019 10:15,4e494b,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,1600 KB,2019-01-02 10:15:00
71260552,Feb/17/2020 09:35,sjmf,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,1800 KB,2020-02-17 09:35:00
74272927,Mar/25/2020 12:18,ilian04,779C - Dishonest Sellers,PyPy 3,Accepted,623 ms,22200 KB,2020-03-25 12:18:00
78297268,Apr/27/2020 16:54,vjudge5,779C - Dishonest Sellers,Python 3,Accepted,343 ms,18200 KB,2020-04-27 16:54:00
26047063,Apr/01/2017 11:24,0w1,779C - Dishonest Sellers,Python 3,Accepted,358 ms,23000 KB,2017-04-01 11:24:00
25113744,Mar/01/2017 05:45,luoxinchen,779C - Dishonest Sellers,Python 3,Accepted,483 ms,28500 KB,2017-03-01 05:45:00
25162279,Mar/03/2017 07:02,WNG,779C - Dishonest Sellers,Python 2,Accepted,436 ms,20600 KB,2017-03-03 07:02:00
41814628,Aug/19/2018 08:52,Aizomi_Senpai,779C - Dishonest Sellers,GNU C++,Accepted,701 ms,1600 KB,2018-08-19 08:52:00
47175323,Dec/17/2018 20:12,irakli21,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,1600 KB,2018-12-17 20:12:00
51198650,Mar/11/2019 23:55,Moaaz_Al_Nouri,779C - Dishonest Sellers,GNU C++17,Accepted,483 ms,1600 KB,2019-03-11 23:55:00
60262037,Sep/08/2019 14:55,Sali_adelkhah,779C - Dishonest Sellers,GNU C++17,Accepted,483 ms,1600 KB,2019-09-08 14:55:00
67167848,Dec/18/2019 19:10,sri_akshya_18,779C - Dishonest Sellers,GNU C++11,Accepted,607 ms,1600 KB,2019-12-18 19:10:00
78297183,Apr/27/2020 16:53,vjudge5,779C - Dishonest Sellers,Python 3,Accepted,327 ms,18200 KB,2020-04-27 16:53:00
78299095,Apr/27/2020 17:12,vjudge5,779C - Dishonest Sellers,Python 3,Accepted,312 ms,18200 KB,2020-04-27 17:12:00
25229813,Mar/05/2017 03:31,sampson.wong123#,779C - Dishonest Sellers,Python 2,Accepted,390 ms,20600 KB,2017-03-05 03:31:00
59958919,Sep/03/2019 20:14,KrishRawat,779C - Dishonest Sellers,PyPy 3,Accepted,405 ms,20200 KB,2019-09-03 20:14:00
25840641,Mar/27/2017 17:38,cgfs10000,779C - Dishonest Sellers,Python 3,Accepted,763 ms,27100 KB,2017-03-27 17:38:00
32057080,Nov/04/2017 18:19,Med.Chbn,779C - Dishonest Sellers,Python 3,Accepted,826 ms,26200 KB,2017-11-04 18:19:00
36563603,Mar/24/2018 08:36,Akarsh1912,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,5000 KB,2018-03-24 08:36:00
25217558,Mar/04/2017 17:50,serszab,779C - Dishonest Sellers,Python 2,Accepted,374 ms,19300 KB,2017-03-04 17:50:00
46064712,Nov/22/2018 18:40,petiteteaparty#,779C - Dishonest Sellers,PyPy 3,Accepted,670 ms,21200 KB,2018-11-22 18:40:00
37468577,Apr/19/2018 19:55,theunderdog,779C - Dishonest Sellers,Python 3,Accepted,545 ms,30100 KB,2018-04-19 19:55:00
25037929,Feb/26/2017 11:38,Yut0,779C - Dishonest Sellers,Python 3,Accepted,966 ms,46400 KB,2017-02-26 11:38:00
25062094,Feb/26/2017 21:22,rnkorneeva,779C - Dishonest Sellers,Python 3,Accepted,451 ms,28500 KB,2017-02-26 21:22:00
42492794,Sep/05/2018 15:55,Richard-cards,779C - Dishonest Sellers,Python 3,Accepted,592 ms,17800 KB,2018-09-05 15:55:00
61981593,Oct/06/2019 15:12,shreyanshi17,779C - Dishonest Sellers,Python 3,Accepted,764 ms,25100 KB,2019-10-06 15:12:00
25041329,Feb/26/2017 11:58,Harsh424jan,779C - Dishonest Sellers,GNU C++14,Accepted,546 ms,3400 KB,2017-02-26 11:58:00
25072760,Feb/27/2017 12:22,phnxfaiz,779C - Dishonest Sellers,GNU C++14,Accepted,546 ms,3400 KB,2017-02-27 12:22:00
26526873,Apr/21/2017 00:37,shivanand217,779C - Dishonest Sellers,GNU C++14,Accepted,529 ms,3400 KB,2017-04-21 00:37:00
36781787,Mar/31/2018 21:46,n0oo0b,779C - Dishonest Sellers,GNU C++14,Accepted,545 ms,4800 KB,2018-03-31 21:46:00
79642810,May/10/2020 13:43,armenicum,779C - Dishonest Sellers,PyPy 3,Accepted,935 ms,41600 KB,2020-05-10 13:43:00
31625359,Oct/23/2017 13:32,treasuryonly,779C - Dishonest Sellers,Python 3,Accepted,358 ms,22800 KB,2017-10-23 13:32:00
31956321,Nov/01/2017 19:02,ipeisbouri64,779C - Dishonest Sellers,Python 3,Accepted,873 ms,26200 KB,2017-11-01 19:02:00
78297219,Apr/27/2020 16:53,vjudge3,779C - Dishonest Sellers,Python 3,Accepted,327 ms,18200 KB,2020-04-27 16:53:00
25035517,Feb/26/2017 11:27,yeswewillcode,779C - Dishonest Sellers,Python 2,Accepted,436 ms,19200 KB,2017-02-26 11:27:00
36723089,Mar/29/2018 17:14,biltharesatyendra,779C - Dishonest Sellers,Python 2,Accepted,482 ms,20500 KB,2018-03-29 17:14:00
39688521,Jun/27/2018 04:32,aeternalis1,779C - Dishonest Sellers,PyPy 2,Accepted,218 ms,17300 KB,2018-06-27 04:32:00
25056183,Feb/26/2017 16:41,blackflag777#,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,4400 KB,2017-02-26 16:41:00
25342086,Mar/08/2017 16:25,cacachandrika#,779C - Dishonest Sellers,GNU C++11,Accepted,685 ms,3600 KB,2017-03-08 16:25:00
25073595,Feb/27/2017 13:02,T1duS,779C - Dishonest Sellers,Python 3,Accepted,748 ms,30200 KB,2017-02-27 13:02:00
25084726,Feb/27/2017 20:45,bpr10ry,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,3600 KB,2017-02-27 20:45:00
25111300,Mar/01/2017 00:53,aliahmad95,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,3600 KB,2017-03-01 00:53:00
25113722,Mar/01/2017 05:42,luoxinchen,779C - Dishonest Sellers,Python 3,Accepted,514 ms,36600 KB,2017-03-01 05:42:00
25266053,Mar/05/2017 18:35,hohner64,779C - Dishonest Sellers,Python 3,Accepted,436 ms,28400 KB,2017-03-05 18:35:00
29299792,Aug/09/2017 09:53,yashar_sb_sb#,779C - Dishonest Sellers,Python 3,Accepted,467 ms,27500 KB,2017-08-09 09:53:00
60597763,Sep/15/2019 09:42,"Kage_Bunshin_No_Code: singhpriyank, rounak_0501, pulak15#",779C - Dishonest Sellers,Python 3,Accepted,795 ms,25100 KB,2019-09-15 09:42:00
25036885,Feb/26/2017 11:33,helloquat,779C - Dishonest Sellers,Python 2,Accepted,421 ms,24400 KB,2017-02-26 11:33:00
25105043,Feb/28/2017 19:07,s17b2_voroneckij#,779C - Dishonest Sellers,Python 3,Accepted,685 ms,26200 KB,2017-02-28 19:07:00
36726691,Mar/29/2018 19:35,kawaii_potato,779C - Dishonest Sellers,Python 3,Accepted,389 ms,24300 KB,2018-03-29 19:35:00
39866320,Jul/02/2018 14:26,franckmy,779C - Dishonest Sellers,Python 2,Accepted,1341 ms,32800 KB,2018-07-02 14:26:00
67255058,Dec/20/2019 00:23,Anus1373,779C - Dishonest Sellers,GNU C++14,Accepted,483 ms,1800 KB,2019-12-20 00:23:00
25667778,Mar/20/2017 17:12,Kirillov_Alexey#,779C - Dishonest Sellers,Python 3,Accepted,530 ms,27500 KB,2017-03-20 17:12:00
25039658,Feb/26/2017 11:47,CodeYogi,779C - Dishonest Sellers,Python 3,Accepted,702 ms,30900 KB,2017-02-26 11:47:00
25043700,Feb/26/2017 12:17,dmkalash,779C - Dishonest Sellers,Python 3,Accepted,810 ms,29500 KB,2017-02-26 12:17:00
25488466,Mar/15/2017 05:25,tskhada,779C - Dishonest Sellers,Python 3,Accepted,717 ms,27200 KB,2017-03-15 05:25:00
52020433,Mar/30/2019 15:27,weirdflex,779C - Dishonest Sellers,Python 3,Accepted,577 ms,28000 KB,2019-03-30 15:27:00
25041443,Feb/26/2017 11:59,foo,779C - Dishonest Sellers,Python 3,Accepted,717 ms,35700 KB,2017-02-26 11:59:00
25117082,Mar/01/2017 10:29,Qrand,779C - Dishonest Sellers,Python 3,Accepted,608 ms,22000 KB,2017-03-01 10:29:00
71051280,Feb/14/2020 13:03,Xyger,779C - Dishonest Sellers,GNU C++14,Accepted,468 ms,2600 KB,2020-02-14 13:03:00
25278093,Mar/06/2017 06:32,nhatminh2947,779C - Dishonest Sellers,Python 2,Accepted,436 ms,20200 KB,2017-03-06 06:32:00
25051122,Feb/26/2017 14:20,vinky,779C - Dishonest Sellers,PyPy 3,Accepted,389 ms,48000 KB,2017-02-26 14:20:00
25238836,Mar/05/2017 12:29,ani_anand,779C - Dishonest Sellers,Python 2,Accepted,670 ms,25300 KB,2017-03-05 12:29:00
33215210,Dec/13/2017 16:49,vjudge3,779C - Dishonest Sellers,GNU C++,Accepted,717 ms,3600 KB,2017-12-13 16:49:00
54534061,May/23/2019 21:49,iamprayush,779C - Dishonest Sellers,PyPy 3,Accepted,888 ms,23900 KB,2019-05-23 21:49:00
69260299,Jan/21/2020 19:51,utkarshkhandelwal199,779C - Dishonest Sellers,GNU C++17,Accepted,498 ms,3100 KB,2020-01-21 19:51:00
28731218,Jul/20/2017 21:01,itsreallyanmol,779C - Dishonest Sellers,Python 3,Accepted,780 ms,27100 KB,2017-07-20 21:01:00
48260732,Jan/11/2019 20:39,Xyger,779C - Dishonest Sellers,GNU C++11,Accepted,608 ms,1600 KB,2019-01-11 20:39:00
25061557,Feb/26/2017 20:55,TerenceLiu,779C - Dishonest Sellers,GNU C++14,Accepted,139 ms,2600 KB,2017-02-26 20:55:00
47901343,Jan/04/2019 17:23,scientificuber,779C - Dishonest Sellers,GNU C++11,Accepted,624 ms,1600 KB,2019-01-04 17:23:00
43619103,Sep/30/2018 21:06,Hach,779C - Dishonest Sellers,Python 3,Accepted,561 ms,23000 KB,2018-09-30 21:06:00
25165854,Mar/03/2017 12:02,Gashintare,779C - Dishonest Sellers,Python 3,Accepted,390 ms,22200 KB,2017-03-03 12:02:00
50039597,Feb/17/2019 03:12,Zaak,779C - Dishonest Sellers,GNU C++17,Accepted,468 ms,1600 KB,2019-02-17 03:12:00
56811757,Jul/10/2019 19:34,noob.learning,779C - Dishonest Sellers,GNU C++17,Accepted,483 ms,1600 KB,2019-07-10 19:34:00
25109650,Feb/28/2017 23:05,Omar.Zak22220000,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,3600 KB,2017-02-28 23:05:00
25245725,Mar/05/2017 15:50,ilbcl,779C - Dishonest Sellers,MS C++,Accepted,265 ms,3600 KB,2017-03-05 15:50:00
25391325,Mar/11/2017 04:31,janierss,779C - Dishonest Sellers,Python 3,Accepted,1013 ms,37300 KB,2017-03-11 04:31:00
27552554,Jun/04/2017 01:16,Scut82,779C - Dishonest Sellers,GNU C++,Accepted,78 ms,1600 KB,2017-06-04 01:16:00
57263920,Jul/18/2019 09:25,SarveshDubey,779C - Dishonest Sellers,PyPy 3,Accepted,998 ms,23200 KB,2019-07-18 09:25:00
25036537,Feb/26/2017 11:31,xarshila_,779C - Dishonest Sellers,Python 3,Accepted,810 ms,26200 KB,2017-02-26 11:31:00
25053682,Feb/26/2017 15:20,malafeev,779C - Dishonest Sellers,PyPy 2,Accepted,483 ms,38400 KB,2017-02-26 15:20:00
25037178,Feb/26/2017 11:34,mikkerlo,779C - Dishonest Sellers,Python 3,Accepted,857 ms,32700 KB,2017-02-26 11:34:00
28730515,Jul/20/2017 20:22,sobir_bobiev#,779C - Dishonest Sellers,PyPy 2,Accepted,171 ms,38100 KB,2017-07-20 20:22:00
45451454,Nov/08/2018 19:18,VasileOctavian,779C - Dishonest Sellers,GNU C++14,Accepted,468 ms,800 KB,2018-11-08 19:18:00
77373846,Apr/20/2020 17:43,Ironman390,779C - Dishonest Sellers,Python 3,Accepted,701 ms,24700 KB,2020-04-20 17:43:00
25036663,Feb/26/2017 11:32,Carlosopher,779C - Dishonest Sellers,GNU C++11,Accepted,93 ms,2600 KB,2017-02-26 11:32:00
27175369,May/17/2017 11:37,Quaternion#,779C - Dishonest Sellers,Python 3,Accepted,436 ms,32000 KB,2017-05-17 11:37:00
35779935,Feb/28/2018 12:30,vjudge4,779C - Dishonest Sellers,GNU C++14,Accepted,530 ms,2800 KB,2018-02-28 12:30:00
25040119,Feb/26/2017 11:50,yinxiaoyu,779C - Dishonest Sellers,Python 3,Accepted,561 ms,30800 KB,2017-02-26 11:50:00
25632577,Mar/19/2017 04:26,Jefe#,779C - Dishonest Sellers,GNU C++14,Accepted,124 ms,2700 KB,2017-03-19 04:26:00
25069080,Feb/27/2017 07:51,zhengsai,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,2600 KB,2017-02-27 07:51:00
25227998,Mar/05/2017 00:38,arej7,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,2600 KB,2017-03-05 00:38:00
77123108,Apr/17/2020 23:25,eshankvaish,779C - Dishonest Sellers,Python 3,Accepted,467 ms,22600 KB,2020-04-17 23:25:00
25072790,Feb/27/2017 12:24,rishabh_4397,779C - Dishonest Sellers,GNU C++11,Accepted,685 ms,2800 KB,2017-02-27 12:24:00
25148043,Mar/02/2017 15:47,ako2004,779C - Dishonest Sellers,GNU C++,Accepted,748 ms,3600 KB,2017-03-02 15:47:00
30289142,Sep/12/2017 17:48,quarks,779C - Dishonest Sellers,GNU C++,Accepted,670 ms,1600 KB,2017-09-12 17:48:00
25037868,Feb/26/2017 11:38,packwolf,779C - Dishonest Sellers,Python 2,Accepted,655 ms,27300 KB,2017-02-26 11:38:00
25340426,Mar/08/2017 15:01,joker1569,779C - Dishonest Sellers,Python 2,Accepted,452 ms,19200 KB,2017-03-08 15:01:00
33470329,Dec/21/2017 07:41,prachi_230,779C - Dishonest Sellers,GNU C++14,Accepted,561 ms,4200 KB,2017-12-21 07:41:00
47374939,Dec/22/2018 19:37,felicity,779C - Dishonest Sellers,GNU C++14,Accepted,468 ms,2400 KB,2018-12-22 19:37:00
25040246,Feb/26/2017 11:51,fdf,779C - Dishonest Sellers,GNU C++,Accepted,686 ms,3600 KB,2017-02-26 11:51:00
25555981,Mar/16/2017 20:07,k.amanov,779C - Dishonest Sellers,GNU C++14,Accepted,546 ms,4200 KB,2017-03-16 20:07:00
26074760,Apr/02/2017 12:54,AMnu,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,2700 KB,2017-04-02 12:54:00
80290382,May/16/2020 10:35,Mohamed_Ayman,779C - Dishonest Sellers,PyPy 3,Accepted,1232 ms,45100 KB,2020-05-16 10:35:00
61118891,Sep/23/2019 16:47,shall_not_pass,779C - Dishonest Sellers,PyPy 3,Accepted,701 ms,23800 KB,2019-09-23 16:47:00
66276365,Dec/04/2019 17:50,vjudge5,779C - Dishonest Sellers,GNU C++14,Accepted,468 ms,1600 KB,2019-12-04 17:50:00
28549130,Jul/14/2017 16:10,Serggor,779C - Dishonest Sellers,Python 2,Accepted,374 ms,19000 KB,2017-07-14 16:10:00
44899726,Oct/26/2018 11:30,arkapravapaul,779C - Dishonest Sellers,GNU C++11,Accepted,607 ms,800 KB,2018-10-26 11:30:00
48190181,Jan/10/2019 20:26,shadow04#,779C - Dishonest Sellers,Python 3,Accepted,561 ms,23900 KB,2019-01-10 20:26:00
25044925,Feb/26/2017 12:28,papichtrapich,779C - Dishonest Sellers,GNU C++11,Accepted,670 ms,5200 KB,2017-02-26 12:28:00
25487230,Mar/15/2017 02:11,tomateos,779C - Dishonest Sellers,Python 2,Accepted,452 ms,19200 KB,2017-03-15 02:11:00
28596348,Jul/16/2017 15:46,zhaimingshuzms,779C - Dishonest Sellers,GNU C++14,Accepted,109 ms,3400 KB,2017-07-16 15:46:00
61958748,Oct/06/2019 09:47,prgv12,779C - Dishonest Sellers,Python 3,Accepted,779 ms,27300 KB,2019-10-06 09:47:00
25046245,Feb/26/2017 12:42,jassi9c,779C - Dishonest Sellers,Python 2,Accepted,530 ms,27300 KB,2017-02-26 12:42:00
25083973,Feb/27/2017 20:13,aayushgoel92,779C - Dishonest Sellers,Python 3,Accepted,436 ms,29400 KB,2017-02-27 20:13:00
