2062191,Aug/28/2012 09:44,xlk,219B - Special Offer! Super Price 999 Bourles!,Ruby,Accepted,130 ms,5600 KB,2012-08-28 09:44:00
55868620,Jun/21/2019 16:29,co_devil,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,280 ms,0 KB,2019-06-21 16:29:00
59773651,Aug/31/2019 00:14,rajat_2548,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,342 ms,0 KB,2019-08-31 00:14:00
2059751,Aug/27/2012 21:29,* Martial,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,60 ms,2900 KB,2012-08-27 21:29:00
2070831,Aug/31/2012 11:11,jag.dragon#,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,60 ms,2400 KB,2012-08-31 11:11:00
14410858,Nov/22/2015 11:31,merolish,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,124 ms,0 KB,2015-11-22 11:31:00
5286848,Nov/28/2013 17:41,vjudge1,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,92 ms,0 KB,2013-11-28 17:41:00
26655554,Apr/25/2017 11:27,arpitkath,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,124 ms,4600 KB,2017-04-25 11:27:00
2308684,Oct/06/2012 22:20,Formido,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,31 ms,0 KB,2012-10-06 22:20:00
30338249,Sep/14/2017 23:35,ikovrigin,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,154 ms,0 KB,2017-09-14 23:35:00
19527748,Jul/31/2016 02:14,transporter,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-07-31 02:14:00
57899597,Jul/28/2019 18:06,lopare,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 18:06:00
2062541,Aug/28/2012 11:40,tyamgin,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,80 ms,2900 KB,2012-08-28 11:40:00
11139525,May/19/2015 03:26,-emli-,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,60 ms,0 KB,2015-05-19 03:26:00
13533547,Oct/10/2015 20:33,shobhit_1212,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2015-10-10 20:33:00
15410660,Jan/17/2016 07:30,stewjon,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-01-17 07:30:00
16520700,Mar/04/2016 20:58,aditya117b,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2016-03-04 20:58:00
46294377,Nov/28/2018 02:36,chetan52720,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,218 ms,0 KB,2018-11-28 02:36:00
66140313,Dec/01/2019 17:05,Coder_95,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2019-12-01 17:05:00
2061701,Aug/28/2012 06:59,changyuheng,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,60 ms,2900 KB,2012-08-28 06:59:00
6011829,Mar/13/2014 23:40,saichandu6,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,0 KB,2014-03-13 23:40:00
55329273,Jun/09/2019 12:59,surbhianand231994,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-06-09 12:59:00
79962897,May/13/2020 12:21,black_rabbit23,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,3900 KB,2020-05-13 12:21:00
64330152,Nov/05/2019 21:57,Sha3ban_El-Bay,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2019-11-05 21:57:00
54437143,May/21/2019 09:28,Mohamed_Ayman,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,218 ms,0 KB,2019-05-21 09:28:00
76089692,Apr/10/2020 15:39,mateberishvili,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2020-04-10 15:39:00
23200472,Dec/21/2016 16:37,pradeep_yadav,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,2000 KB,2016-12-21 16:37:00
49130480,Jan/29/2019 06:35,Spectre2017,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-01-29 06:35:00
2288697,Oct/02/2012 06:16,studytolive#,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,31 ms,0 KB,2012-10-02 06:16:00
19528054,Jul/31/2016 02:58,transporter,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-07-31 02:58:00
33078201,Dec/10/2017 13:56,WesMorgan_5,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,30 ms,1900 KB,2017-12-10 13:56:00
37638316,Apr/26/2018 16:42,ACapella,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,3300 KB,2018-04-26 16:42:00
73560251,Mar/18/2020 13:32,cybertron1609,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2020-03-18 13:32:00
37090488,Apr/08/2018 10:39,tlpx,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,3400 KB,2018-04-08 10:39:00
42694120,Sep/09/2018 08:26,datahunter_98,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2018-09-09 08:26:00
37095352,Apr/08/2018 14:07,HaiDuong,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,3400 KB,2018-04-08 14:07:00
5565922,Dec/30/2013 06:59,rudra101,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-12-30 06:59:00
2560324,Nov/14/2012 21:56,daidailanlan,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,78 ms,0 KB,2012-11-14 21:56:00
38444773,May/20/2018 03:18,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2018-05-20 03:18:00
49130464,Jan/29/2019 06:35,Spectre2017,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-01-29 06:35:00
4823509,Oct/19/2013 12:00,yugle7,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,156 ms,300 KB,2013-10-19 12:00:00
14137480,Nov/08/2015 11:07,130705009,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2015-11-08 11:07:00
71402409,Feb/18/2020 23:09,El-Nebo,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2020-02-18 23:09:00
5389652,Dec/08/2013 16:18,PSDEV,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-12-08 16:18:00
42123882,Aug/26/2018 16:57,Mk_Python_v1,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,248 ms,0 KB,2018-08-26 16:57:00
76297862,Apr/12/2020 10:12,vanshifiona,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-04-12 10:12:00
4548604,Sep/24/2013 16:38,okuzn,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-09-24 16:38:00
56007966,Jun/24/2019 19:34,elabensaad,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-06-24 19:34:00
7047586,Jul/08/2014 17:32,nsfxlyl,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,0 KB,2014-07-08 17:32:00
22642861,Dec/01/2016 18:16,AMosa3d,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2016-12-01 18:16:00
2092049,Sep/03/2012 11:24,vjudge2,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,700 KB,2012-09-03 11:24:00
2106278,Sep/09/2012 16:07,Myungwoo,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,110 ms,2900 KB,2012-09-09 16:07:00
13509350,Oct/09/2015 15:38,vjudge1,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2015-10-09 15:38:00
73220864,Mar/14/2020 17:14,fastio,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2020-03-14 17:14:00
2064927,Aug/28/2012 23:06,AKruglyak,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,800 KB,2012-08-28 23:06:00
2387918,Oct/19/2012 19:40,huangpp123#,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,31 ms,0 KB,2012-10-19 19:40:00
58697990,Aug/13/2019 09:48,Abanish,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-08-13 09:48:00
5292432,Nov/29/2013 13:53,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-29 13:53:00
28364485,Jul/08/2017 11:35,siddharths067,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,2100 KB,2017-07-08 11:35:00
5292413,Nov/29/2013 13:47,vjudge5,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-29 13:47:00
5292429,Nov/29/2013 13:52,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2013-11-29 13:52:00
59666562,Aug/29/2019 17:23,JohnnyWu__China,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-08-29 17:23:00
77262659,Apr/19/2020 13:09,candidatemaster1,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2020-04-19 13:09:00
78060896,Apr/25/2020 22:39,Shreyas_Songirkar,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,300 KB,2020-04-25 22:39:00
2251906,Sep/26/2012 09:57,Jairls18,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,31 ms,0 KB,2012-09-26 09:57:00
21262329,Oct/07/2016 19:24,mohabmes,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,2000 KB,2016-10-07 19:24:00
70849548,Feb/12/2020 17:28,luogu_bot3,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-02-12 17:28:00
2794829,Dec/19/2012 17:40,Master_Prog,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2012-12-19 17:40:00
15970556,Feb/12/2016 15:27,masterwayne,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-02-12 15:27:00
57795069,Jul/26/2019 14:06,sri_akshya_18,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-07-26 14:06:00
71847827,Feb/25/2020 12:49,Ryan-Liu,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-02-25 12:49:00
2926131,Jan/15/2013 10:01,Alkochza,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2013-01-15 10:01:00
6294577,Apr/07/2014 15:56,vjudge3,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,0 KB,2014-04-07 15:56:00
14488527,Nov/26/2015 09:42,c_runner92,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,100 KB,2015-11-26 09:42:00
14773990,Dec/12/2015 18:30,__future__,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2015-12-12 18:30:00
15959596,Feb/11/2016 19:20,Deltadromeus#,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-02-11 19:20:00
12284232,Jul/31/2015 02:56,Khalid-Mohamed,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2015-07-31 02:56:00
27717762,Jun/11/2017 11:45,Bhaba_Ranjan12,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2017-06-11 11:45:00
57826741,Jul/27/2019 06:36,2018212727,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2019-07-27 06:36:00
2063633,Aug/28/2012 16:42,SPAND,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-28 16:42:00
2519788,Nov/07/2012 18:43,Karmic,219B - Special Offer! Super Price 999 Bourles!,Ruby,Accepted,140 ms,0 KB,2012-11-07 18:43:00
2288683,Oct/02/2012 06:13,xuanthuy_sp96,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,31 ms,0 KB,2012-10-02 06:13:00
54784782,May/29/2019 05:47,lazy_bit,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,92 ms,200 KB,2019-05-29 05:47:00
76943401,Apr/16/2020 10:51,karthikprakashramadoss,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,300 KB,2020-04-16 10:51:00
2230217,Sep/22/2012 20:45,Universez,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,78 ms,2800 KB,2012-09-22 20:45:00
42094603,Aug/25/2018 18:18,believe_in_yourself,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2018-08-25 18:18:00
73320678,Mar/15/2020 12:31,_arpit_,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,312 ms,0 KB,2020-03-15 12:31:00
76944983,Apr/16/2020 11:09,karthikprakashramadoss,219B - Special Offer! Super Price 999 Bourles!,GNU C11,Accepted,62 ms,0 KB,2020-04-16 11:09:00
19767390,Aug/10/2016 17:25,MaghrabyZ,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,2000 KB,2016-08-10 17:25:00
34594463,Jan/27/2018 08:13,AiZi_,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,2000 KB,2018-01-27 08:13:00
48595759,Jan/20/2019 09:08,ajeet,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2019-01-20 09:08:00
54858052,May/31/2019 00:27,__Ash__,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2019-05-31 00:27:00
15641836,Jan/29/2016 11:27,talker,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-01-29 11:27:00
15728479,Feb/01/2016 12:55,woofyer,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-02-01 12:55:00
2056353,Aug/27/2012 20:22,taranov.vv,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,80 ms,2900 KB,2012-08-27 20:22:00
2092048,Sep/03/2012 11:24,DFX07,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,700 KB,2012-09-03 11:24:00
15641866,Jan/29/2016 11:29,bnuvjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2016-01-29 11:29:00
19706156,Aug/07/2016 18:37,CST16-cyb,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,2000 KB,2016-08-07 18:37:00
49817513,Feb/12/2019 09:51,nakul98,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,200 KB,2019-02-12 09:51:00
2062299,Aug/28/2012 10:25,greenhope,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-28 10:25:00
2066155,Aug/29/2012 13:04,Istari,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,800 KB,2012-08-29 13:04:00
5956516,Mar/07/2014 15:58,EKGMA,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2014-03-07 15:58:00
8162861,Oct/10/2014 10:14,arnoldjulians,219B - Special Offer! Super Price 999 Bourles!,Go,Accepted,62 ms,0 KB,2014-10-10 10:14:00
14776560,Dec/12/2015 21:45,moncef007,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2015-12-12 21:45:00
2061327,Aug/28/2012 04:42,YaleZ,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,1500 KB,2012-08-28 04:42:00
4206758,Jul/31/2013 06:31,shaoye,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-07-31 06:31:00
11889982,Jul/02/2015 05:35,XelMed,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,124 ms,0 KB,2015-07-02 05:35:00
71225912,Feb/16/2020 16:43,rohit7878,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2020-02-16 16:43:00
72517308,Mar/05/2020 17:05,wjk00,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-03-05 17:05:00
71890495,Feb/26/2020 04:55,Abdalllah,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-02-26 04:55:00
2102607,Sep/07/2012 17:39,KuRbI,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,31 ms,800 KB,2012-09-07 17:39:00
41674425,Aug/17/2018 10:14,nilesh8757,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-08-17 10:14:00
48462128,Jan/16/2019 18:13,Dk23,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-01-16 18:13:00
16227361,Feb/20/2016 13:52,MagicWand,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-02-20 13:52:00
18530057,Jun/16/2016 22:24,Bengal_Tiger,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,0 KB,2016-06-16 22:24:00
68165160,Jan/04/2020 15:09,rspr,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2020-01-04 15:09:00
20176851,Aug/26/2016 17:12,Kidd,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,2000 KB,2016-08-26 17:12:00
43945057,Oct/07/2018 16:19,imabhishek,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2018-10-07 16:19:00
2057329,Aug/27/2012 20:39,dr.ikros,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,90 ms,2900 KB,2012-08-27 20:39:00
26227268,Apr/09/2017 01:07,Chicou,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,30 ms,1900 KB,2017-04-09 01:07:00
2065183,Aug/29/2012 01:23,JGalt,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,800 KB,2012-08-29 01:23:00
8899216,Nov/30/2014 18:53,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2014-11-30 18:53:00
12126085,Jul/20/2015 09:51,vjudge4,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,0 KB,2015-07-20 09:51:00
23037123,Dec/17/2016 02:50,hassantarektnt,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2016-12-17 02:50:00
55277061,Jun/07/2019 22:54,raghavsinghal11,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-06-07 22:54:00
56769684,Jul/09/2019 23:39,lannistereohan,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-07-09 23:39:00
7735653,Sep/10/2014 18:05,yehiaberam,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2014-09-10 18:05:00
10520329,Mar/30/2015 00:44,VastoLorde95,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,124 ms,0 KB,2015-03-30 00:44:00
23205950,Dec/21/2016 20:50,akshat14,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,2000 KB,2016-12-21 20:50:00
37123278,Apr/09/2018 16:34,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,62 ms,3400 KB,2018-04-09 16:34:00
73109723,Mar/13/2020 02:44,vjudge5,219B - Special Offer! Super Price 999 Bourles!,MS C++ 2017,Accepted,62 ms,300 KB,2020-03-13 02:44:00
2983493,Jan/22/2013 16:11,Praneeth,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,15 ms,0 KB,2013-01-22 16:11:00
59350663,Aug/23/2019 14:39,ashwin2000,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,280 ms,0 KB,2019-08-23 14:39:00
60197764,Sep/07/2019 06:03,CubeCakes,219B - Special Offer! Super Price 999 Bourles!,PyPy 3,Accepted,280 ms,0 KB,2019-09-07 06:03:00
65566446,Nov/23/2019 09:05,kanakgoel36,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-11-23 09:05:00
68040743,Jan/01/2020 17:12,Annvv,219B - Special Offer! Super Price 999 Bourles!,Python 3,Accepted,248 ms,300 KB,2020-01-01 17:12:00
35805320,Mar/01/2018 10:54,vjudge1,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,60 ms,2000 KB,2018-03-01 10:54:00
44035186,Oct/09/2018 15:37,vjudge2,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,62 ms,300 KB,2018-10-09 15:37:00
17154136,Apr/04/2016 09:57,Yazan_Eagle,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,30 ms,2200 KB,2016-04-04 09:57:00
20332080,Sep/02/2016 01:35,Kidd,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2016-09-02 01:35:00
9501219,Jan/22/2015 14:00,Ded,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,62 ms,0 KB,2015-01-22 14:00:00
19706099,Aug/07/2016 18:37,vjudge2,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,2000 KB,2016-08-07 18:37:00
11684635,Jun/20/2015 19:37,sg94,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,60 ms,0 KB,2015-06-20 19:37:00
72516578,Mar/05/2020 16:55,vjudge1,219B - Special Offer! Super Price 999 Bourles!,GNU C++11,Accepted,62 ms,0 KB,2020-03-05 16:55:00
5287547,Nov/28/2013 19:11,vjudge1,219B - Special Offer! Super Price 999 Bourles!,GNU C++,Accepted,30 ms,0 KB,2013-11-28 19:11:00
57813185,Jul/26/2019 21:22,weirdo14140962,219B - Special Offer! Super Price 999 Bourles!,GNU C++17,Accepted,62 ms,0 KB,2019-07-26 21:22:00
2062711,Aug/28/2012 12:30,neex.emil#,219B - Special Offer! Super Price 999 Bourles!,Python 2,Accepted,60 ms,2900 KB,2012-08-28 12:30:00
62360757,Oct/11/2019 15:25,tvs1998,219B - Special Offer! Super Price 999 Bourles!,GNU C++14,Accepted,62 ms,0 KB,2019-10-11 15:25:00
2054450,Aug/27/2012 19:54,akim,219B - Special Offer! Super Price 999 Bourles!,FPC,Accepted,30 ms,1200 KB,2012-08-27 19:54:00
2092038,Sep/03/2012 11:20,DFX07,219B - Special Offer! Super Price 999 Bourles!,MS C++,Accepted,30 ms,700 KB,2012-09-03 11:20:00
