337919,Mar/15/2011 18:00,urutom,67B - Restoration of the Permutation,Ruby,Accepted,170 ms,4000 KB,2011-03-15 18:00:00
8178933,Oct/12/2014 05:56,fan_hd,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2014-10-12 05:56:00
20026699,Aug/21/2016 15:42,vjudge5,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1800 KB,2016-08-21 15:42:00
332886,Mar/13/2011 19:44,ania,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 19:44:00
54496262,May/22/2019 20:54,WOSHIGEPACHONG2,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-05-22 20:54:00
346984,Mar/21/2011 13:10,cavalier,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-21 13:10:00
19393081,Jul/25/2016 05:58,vjudge1,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2016-07-25 05:58:00
792057,Oct/23/2011 19:28,oinf-club,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-10-23 19:28:00
20023233,Aug/21/2016 12:25,vjudge1,67B - Restoration of the Permutation,GNU C++,Accepted,60 ms,1900 KB,2016-08-21 12:25:00
2250385,Sep/25/2012 19:03,al13pn,67B - Restoration of the Permutation,GNU C++,Accepted,31 ms,0 KB,2012-09-25 19:03:00
334141,Mar/13/2011 20:38,* whhone,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 20:38:00
22128293,Nov/09/2016 14:17,2016,67B - Restoration of the Permutation,GNU C++14,Accepted,30 ms,0 KB,2016-11-09 14:17:00
334258,Mar/13/2011 20:45,vlad107,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1500 KB,2011-03-13 20:45:00
332769,Mar/13/2011 19:41,Ra16bit,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 19:41:00
70819597,Feb/12/2020 05:51,RollerCompaction,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2020-02-12 05:51:00
792078,Oct/23/2011 19:37,oinf-club,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1000 KB,2011-10-23 19:37:00
2254900,Sep/27/2012 09:54,nealzane,67B - Restoration of the Permutation,GNU C++,Accepted,31 ms,0 KB,2012-09-27 09:54:00
333067,Mar/13/2011 19:52,Sisu,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,5500 KB,2011-03-13 19:52:00
333837,Mar/13/2011 20:24,* Berestinsky,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:24:00
75041054,Apr/01/2020 08:20,PedyD#,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,1000 KB,2020-04-01 08:20:00
4318615,Aug/21/2013 11:00,bnuvjudge2,67B - Restoration of the Permutation,MS C++,Accepted,62 ms,0 KB,2013-08-21 11:00:00
334062,Mar/13/2011 20:34,evg-zhabotinsky,67B - Restoration of the Permutation,Delphi,Accepted,30 ms,800 KB,2011-03-13 20:34:00
10404268,Mar/22/2015 22:51,how_to_become_purple,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2015-03-22 22:51:00
334719,Mar/13/2011 21:10,* akim239,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:10:00
59914807,Sep/02/2019 21:41,Nishant_Satapara,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2019-09-02 21:41:00
334772,Mar/13/2011 21:13,Mex-Mans,67B - Restoration of the Permutation,GNU C++,Accepted,300 ms,1400 KB,2011-03-13 21:13:00
20027173,Aug/21/2016 16:08,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,1800 KB,2016-08-21 16:08:00
20025556,Aug/21/2016 14:34,vjudge1,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1800 KB,2016-08-21 14:34:00
334953,Mar/13/2011 21:25,* yakitori,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 21:25:00
337613,Mar/15/2011 10:34,dreamoon_love_AA,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-15 10:34:00
15946156,Feb/10/2016 21:45,kingofnumbers#,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-02-10 21:45:00
470809,May/27/2011 07:16,tmt514,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-05-27 07:16:00
20041712,Aug/22/2016 11:32,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,1800 KB,2016-08-22 11:32:00
335446,Mar/13/2011 22:01,A.K.Goharshady,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 22:01:00
334698,Mar/13/2011 21:09,macs,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:09:00
1353615,Mar/13/2012 05:48,Shik,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2012-03-13 05:48:00
361301,Mar/29/2011 08:25,kterry,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-29 08:25:00
335315,Mar/13/2011 21:50,* sprea,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:50:00
20023482,Aug/21/2016 12:38,vjudge2,67B - Restoration of the Permutation,GNU C++11,Accepted,60 ms,1800 KB,2016-08-21 12:38:00
820984,Oct/31/2011 09:11,alexlinzhai,67B - Restoration of the Permutation,GNU C++,Accepted,50 ms,1400 KB,2011-10-31 09:11:00
59372069,Aug/23/2019 22:33,rainboy,67B - Restoration of the Permutation,GNU C11,Accepted,62 ms,0 KB,2019-08-23 22:33:00
44355974,Oct/15/2018 15:27,"Ya Ali: Arpa, MAMBA#",67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2018-10-15 15:27:00
20036516,Aug/22/2016 03:33,vjudge4,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,1800 KB,2016-08-22 03:33:00
333351,Mar/13/2011 20:05,flashmt,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:05:00
333372,Mar/13/2011 20:06,watashi,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 20:06:00
335331,Mar/13/2011 21:51,Sereja,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1100 KB,2011-03-13 21:51:00
40356586,Jul/14/2018 23:21,agat00,67B - Restoration of the Permutation,Node.js,Accepted,310 ms,300 KB,2018-07-14 23:21:00
19382327,Jul/24/2016 14:00,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-07-24 14:00:00
335773,Mar/13/2011 22:26,* Maximus,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 22:26:00
2068671,Aug/30/2012 12:49,3230391,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,800 KB,2012-08-30 12:49:00
861759,Mar/13/2011 21:12,"susk koshe atak !: REnd, mrkz1991, hassan1991#",67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:12:00
333039,Mar/13/2011 19:51,tigvarts,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1500 KB,2011-03-13 19:51:00
340071,Mar/18/2011 17:35,pes,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-18 17:35:00
670190,Sep/06/2011 07:04,wayne-ho,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-09-06 07:04:00
338244,Mar/16/2011 08:37,sbzlyessit,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-16 08:37:00
47859030,Jan/03/2019 06:55,saddest.life,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-01-03 06:55:00
20027129,Aug/21/2016 16:05,vjudge4,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,1900 KB,2016-08-21 16:05:00
333240,Mar/13/2011 20:00,borisgrubic,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:00:00
343898,Mar/19/2011 14:50,ir5,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-19 14:50:00
1651140,May/03/2012 19:49,ilya.korovin,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2012-05-03 19:49:00
334121,Mar/13/2011 20:37,memopaper,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:37:00
338331,Mar/16/2011 13:26,fura2,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-16 13:26:00
1129986,Feb/01/2012 12:06,random.johnnyh,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2012-02-01 12:06:00
35087042,Feb/09/2018 14:05,haizhe,67B - Restoration of the Permutation,GNU C++14,Accepted,30 ms,1900 KB,2018-02-09 14:05:00
74367404,Mar/26/2020 11:48,luogu_bot2,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2020-03-26 11:48:00
70803021,Feb/11/2020 20:31,Carered,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,1000 KB,2020-02-11 20:31:00
337234,Mar/14/2011 21:32,vilcheuski,67B - Restoration of the Permutation,FPC,Accepted,50 ms,1000 KB,2011-03-14 21:32:00
370790,Apr/06/2011 13:02,vout,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-04-06 13:02:00
13824841,Oct/24/2015 16:13,130705009,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2015-10-24 16:13:00
336780,Mar/14/2011 13:52,Warxezz,67B - Restoration of the Permutation,FPC,Accepted,50 ms,1100 KB,2011-03-14 13:52:00
68575800,Jan/11/2020 13:00,steven.novaryo,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2020-01-11 13:00:00
335412,Mar/13/2011 21:57,* ksjuchi,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:57:00
334687,Mar/13/2011 21:08,aan93,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:08:00
335054,Mar/13/2011 21:31,kasyankrak,67B - Restoration of the Permutation,FPC,Accepted,30 ms,2200 KB,2011-03-13 21:31:00
4050067,Jul/11/2013 14:02,poopi,67B - Restoration of the Permutation,MS C++,Accepted,15 ms,0 KB,2013-07-11 14:02:00
15090854,Dec/30/2015 01:29,Deemo#,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,0 KB,2015-12-30 01:29:00
70474711,Feb/07/2020 06:02,big_tq,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2020-02-07 06:02:00
3503501,Apr/11/2013 16:20,vjudge5,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-04-11 16:20:00
3503664,Apr/11/2013 16:47,lirh8121099,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-04-11 16:47:00
336799,Mar/14/2011 14:18,eng.heshamali,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-14 14:18:00
333493,Mar/13/2011 20:10,fixme,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:10:00
52779559,Apr/15/2019 16:35,vjudge2,67B - Restoration of the Permutation,MS C++,Accepted,62 ms,0 KB,2019-04-15 16:35:00
339933,Mar/18/2011 15:39,sleepiforest,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-18 15:39:00
4316012,Aug/20/2013 17:30,theone,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2013-08-20 17:30:00
333586,Mar/13/2011 20:14,Ferlon,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:14:00
333765,Mar/13/2011 20:21,KrK,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:21:00
16325342,Feb/25/2016 14:20,gepardo,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-02-25 14:20:00
23613276,Jan/07/2017 00:29,Ali.Pi,67B - Restoration of the Permutation,GNU C++14,Accepted,60 ms,1900 KB,2017-01-07 00:29:00
28410312,Jul/10/2017 17:55,I_always_love_cc,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,2100 KB,2017-07-10 17:55:00
874167,Nov/16/2011 19:08,shinian,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-11-16 19:08:00
334319,Mar/13/2011 20:48,wrong,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:48:00
17430640,Apr/22/2016 09:26,duyboy135,67B - Restoration of the Permutation,GNU C++11,Accepted,30 ms,2200 KB,2016-04-22 09:26:00
71590710,Feb/22/2020 09:23,iShibly,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2020-02-22 09:23:00
333252,Mar/13/2011 20:00,* Malinovsky239,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:00:00
333525,Mar/13/2011 20:12,* Erop,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:12:00
670651,Sep/06/2011 16:45,waterkid,67B - Restoration of the Permutation,FPC,Accepted,30 ms,1000 KB,2011-09-06 16:45:00
335588,Mar/13/2011 22:13,* f.nasim,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 22:13:00
334649,Mar/13/2011 21:05,kolesov93,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:05:00
69694358,Jan/28/2020 22:48,moonshine,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,200 KB,2020-01-28 22:48:00
335059,Mar/13/2011 21:32,navi,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 21:32:00
335742,Mar/13/2011 22:24,Stirpar,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 22:24:00
338317,Mar/16/2011 13:09,fura2,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-16 13:09:00
17083710,Apr/01/2016 05:08,freebsdx,67B - Restoration of the Permutation,GNU C++11,Accepted,60 ms,2000 KB,2016-04-01 05:08:00
75080103,Apr/01/2020 15:43,Atreus#,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,300 KB,2020-04-01 15:43:00
334646,Mar/13/2011 21:05,Nicolai_Kovrov,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 21:05:00
6239581,Apr/02/2014 11:44,nka55,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2014-04-02 11:44:00
6239592,Apr/02/2014 11:46,nka55,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2014-04-02 11:46:00
333317,Mar/13/2011 20:04,Rubanenko,67B - Restoration of the Permutation,FPC,Accepted,50 ms,1000 KB,2011-03-13 20:04:00
335483,Mar/13/2011 22:04,LayCurse,67B - Restoration of the Permutation,GNU C,Accepted,30 ms,1300 KB,2011-03-13 22:04:00
20026936,Aug/21/2016 15:55,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,1800 KB,2016-08-21 15:55:00
15945678,Feb/10/2016 21:20,TsunamiNoLetGo#,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-02-10 21:20:00
75827206,Apr/08/2020 14:12,srijansingh,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,0 KB,2020-04-08 14:12:00
336985,Mar/14/2011 18:05,enots,67B - Restoration of the Permutation,Haskell,Accepted,90 ms,10200 KB,2011-03-14 18:05:00
7402238,Aug/09/2014 10:58,vjudge5,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2014-08-09 10:58:00
10170656,Mar/06/2015 00:29,blazeva1,67B - Restoration of the Permutation,GNU C++0x,Accepted,30 ms,0 KB,2015-03-06 00:29:00
569321,Jul/29/2011 13:12,Komaki,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-07-29 13:12:00
61451017,Sep/29/2019 05:45,Felix555,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2019-09-29 05:45:00
333148,Mar/13/2011 19:55,kriii,67B - Restoration of the Permutation,GNU C++,Accepted,520 ms,1400 KB,2011-03-13 19:55:00
7403585,Aug/09/2014 12:55,a654889339,67B - Restoration of the Permutation,GNU C++0x,Accepted,92 ms,0 KB,2014-08-09 12:55:00
333301,Mar/13/2011 20:03,fhlasek,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1300 KB,2011-03-13 20:03:00
1947972,Jul/28/2012 21:12,sspa#,67B - Restoration of the Permutation,GNU C++,Accepted,50 ms,2600 KB,2012-07-28 21:12:00
3149968,Feb/20/2013 14:23,AleksanderBalobanov,67B - Restoration of the Permutation,Delphi,Accepted,15 ms,8900 KB,2013-02-20 14:23:00
59888258,Sep/02/2019 12:07,vjudge4,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2019-09-02 12:07:00
334915,Mar/13/2011 21:22,afaji321,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:22:00
335305,Mar/13/2011 21:49,Demjan,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:49:00
336355,Mar/14/2011 02:31,meparter,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-14 02:31:00
42354853,Sep/02/2018 11:01,Sherek#,67B - Restoration of the Permutation,GNU C++,Accepted,62 ms,300 KB,2018-09-02 11:01:00
26320819,Apr/12/2017 18:19,szawinis#,67B - Restoration of the Permutation,GNU C++14,Accepted,30 ms,2000 KB,2017-04-12 18:19:00
333478,Mar/13/2011 20:10,Steps09,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:10:00
19379339,Jul/24/2016 10:56,vjudge1,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2016-07-24 10:56:00
59888288,Sep/02/2019 12:08,Nyse,67B - Restoration of the Permutation,GNU C++17,Accepted,62 ms,0 KB,2019-09-02 12:08:00
333796,Mar/13/2011 20:23,y3eadgbe,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:23:00
47386116,Dec/23/2018 07:58,EricLi,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2018-12-23 07:58:00
422748,May/03/2011 11:46,kuraku,67B - Restoration of the Permutation,GNU C++,Accepted,410 ms,1400 KB,2011-05-03 11:46:00
333511,Mar/13/2011 20:11,ymondelo20,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 20:11:00
333846,Mar/13/2011 20:25,Hinidu,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:25:00
7401823,Aug/09/2014 10:21,vjudge3,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,0 KB,2014-08-09 10:21:00
71284065,Feb/17/2020 17:37,fxh,67B - Restoration of the Permutation,GNU C++14,Accepted,62 ms,0 KB,2020-02-17 17:37:00
334504,Mar/13/2011 20:58,litstrong,67B - Restoration of the Permutation,MS C++,Accepted,30 ms,1400 KB,2011-03-13 20:58:00
3171736,Feb/22/2013 14:32,Voro94,67B - Restoration of the Permutation,GNU C++,Accepted,15 ms,0 KB,2013-02-22 14:32:00
333379,Mar/13/2011 20:06,tourist,67B - Restoration of the Permutation,Delphi,Accepted,30 ms,800 KB,2011-03-13 20:06:00
335155,Mar/13/2011 21:38,portal,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 21:38:00
19393013,Jul/25/2016 05:53,vjudge4,67B - Restoration of the Permutation,GNU C++,Accepted,60 ms,100 KB,2016-07-25 05:53:00
73449081,Mar/17/2020 05:17,luogu_bot1,67B - Restoration of the Permutation,GNU C++11,Accepted,62 ms,0 KB,2020-03-17 05:17:00
333012,Mar/13/2011 19:50,Zlobober,67B - Restoration of the Permutation,GNU C++,Accepted,30 ms,1400 KB,2011-03-13 19:50:00
