status,problem,source
36,36A - Extra-terrestrial Intelligence,"S = str . split s = S ( open ( 'input.txt' ,   'r' ). read ())[ 1 ] f = open ( 'output.txt' ,   'w' ) f . write ([ 'NO' , 'YES' ][ len ( set ( S ( s [ s . find ( '1' ): s . rfind ( '1' )+ 1 ], '1' )[ 1 :- 1 ]))== 1 ]) f . flush ()"
37,37A - Towers,"input () b  =  input (). split () print ( max ( map ( b . count ,  b )),  len ( set ( b )))"
38,38A - Army,"input (); a = list ( map ( int , input (). split ())); c , d = map ( int , input (). split ()); print ( sum ( a [ c - 1 : d - 1 ]))"
39,39A - C*++ Calculations,"import  re   u  =  int G  =  input X  =  sorted y  =   print A  =  re . findall a  =  u ( G ()) b  =  X ([[ u (( i [ 0 ] or   '+' )+( i [ 1 ] or   '1' )),  i [ 3 ]]         for  i  in  A ( '(\+|-)?(\d{0,4})(\*)?(a\+\+|\+\+a)' ,  G ())]) z  =   0 for  i  in  b :      if  i [ 1 ]   ==   'a++' :         z  +=  i [ 0 ]* a      else :         z  +=  i [ 0 ]*( a + 1 )     a  +=   1 y ( z )"
40,40A - Find Color,"from  math  import  ceil   x ,  y  =  map ( int ,  input (). split ()) R  =  x * x  +  y * y r  =  ceil ( R **. 5 )   print ( 'black'   if  r * r == R  or   ( r % 2 )^( x * y <= 0 )   else   'white' )"
41,41A - Translation,"r = input ; print ( ""YNEOS"" [ r ()!= r ()[::- 1 ]:: 2 ])"
42,42A - Guilty --- to the kitchen!,"n ,  v  =  map ( int ,  input (). split ()) a  =  list ( map ( int ,  input (). split ())) b  =  list ( map ( int ,  input (). split ())) r  =  min ( bi  /  ai  for  ai ,  bi  in  zip ( a ,  b )) print ( min ( v ,  r  *  sum ( a )))"
43,43A - Football,n = int ( input ()) print ( sorted ([ input ()   for  _  in  range ( n )])[ n // 2 ])
44,44A - Indian Summer,print ( len ({*[* open ( 0 )][ 1 :]}))
45,45A - Codecraft III,import  calendar a = input () b =[ calendar . month_name [ i ] for  i  in  range ( 13 )][ 1 :] print ( b [( int ( input ())+ b . index ( a ))% 12 ])
46,46A - Ball Game,"n , x = int ( input ()), 0 for  i  in  range ( 1 , n ):  x =( x + i )% n   print ( x + 1 , '' )"
47,47A - Triangular numbers,print ( 'YNEOS' [( int ( input ())* 8 + 1 )** 0.5 % 1 > 0 :: 2 ])
48,48A - Rock-paper-scissors,"a =[ input () for  _  in [ 0 ]* 3 ] d = dict ( zip ( 'rsp' , 'spr' )) r = 'FMS' for  i  in  range ( 3 ):    if  sum ( x [ 0 ]== d [ a [ i ][ 0 ]]   for  x  in  a )== 2 :      print ( r [ i ])     exit () print ( '?' )"
49,49A - Sleuth,print ( 'NYOE S' [ input ()[:- 1 ]. rstrip ()[- 1 ]   in   'aeiouyAEIOUY' :: 2 ])
50,50A - Domino piling,print ( eval ( '*' . join ( input (). split ()))// 2 )
51,51A - Cheaterius's Problem,I  =  input   n  =  int ( I ()) X  =  set ()   for  i  in  range ( n ):     s  =  I ()   +  I ()[::- 1 ]      if  i  <  n - 1 :         I ()      if  all ( s  not   in  x  for  x  in  X ):         X . add ( 2 * s )   print ( len ( X ))
52,52A - 123-sequence,n = int ( input ()) a = input () print ( n - max ( a . count ( x ) for  x  in   '123' ))
53,53A - Autocomplete,a = input () b = int ( input ()) c =[] for  i  in  range ( b ): 	d = input () 	 if  d [: len ( a )]== a : 		c . append ( d ) if  len ( c )> 0 : 	 print ( min ( c )) else : 	 print ( a )
54,54A - Presents,"I  =   lambda :  map ( int ,  input (). split ())   n ,  k  =  I () C ,   * X  =  I () X  =   [ 0 ]   +  X  +   [ n + 1 ]   print ( C  +  sum (( X [ i + 1 ]- X [ i ]- 1 )// k  for  i  in  range ( C + 1 )))"
55,55A - Flea travel,n = int ( input ()) print ( 'NO' if  n & n - 1   else   'YES' )
56,56A - Bar,"a =[ 'ABSINTH' ,   'BEER' ,   'BRANDY' ,   'CHAMPAGNE' ,   'GIN' ,   'RUM' ,   'SAKE' ,   'TEQUILA' ,   'VODKA' ,   'WHISKEY' ,   'WINE' ] r = 0 for  s  in   [* open ( 0 )][ 1 :]:    if  s [ 0 ]. isdigit (): r += int ( s )< 18    else : r += s [:- 1 ] in  a print ( r )"
57,57A - Square Earth?,"n , x , y , p , q = map ( int , input (). split ()) d = abs ( x - p )+ abs ( y - q )   if ( abs ( x - p )== n ):     d = min ( n + y + q , 3 * n -( y + q )) if ( abs ( y - q )== n ):     d = min ( n + x + p , 3 * n -( x + p )) print ( d )"
58,58A - Chat room,s = iter ( input ()); print ( 'NYOE S' [ all ( c  in  s  for  c  in   'hello' ):: 2 ])
59,59A - Word,"s = input (); print ([ s . lower (), s . upper ()][ sum ( x < '['   for  x  in  s )* 2 > len ( s )])"
60,60A - Where Are My Flakes?,"n ,  m  =  map ( int ,  input (). split ()) L ,  R  =   1 ,  n   for  _  in  range ( m ):     s  =  input (). split ()     i  =  int ( s [- 1 ])      if  s [ 2 ]   ==   'left' :         R  =  min ( R ,  i - 1 )      else :         L  =  max ( L ,  i + 1 )   print ( R - L + 1   if  L <= R  else   - 1 )"
61,61A - Ultra-Fast Mathematician,"i = input ; print ( '' . join ( '01' [ a != b ] for  a , b  in  zip ( i (), i ())))"
62,62A - A Student's Dream,"bl , br = map ( int , input (). split ()) al , ar = map ( int , input (). split ()) if  bl - 1 <= ar <= 2 * bl + 2   or  br - 1 <= al <= 2 * br + 2 :      print ( ""YES"" ) else :      print ( 'NO' )"
63,63A - Sinking Ship,"n = int ( input ()) o = dict ( zip ( 'tminp' ,[ 0 , 1 , 1 , 2 , 3 ])) a = sorted ( enumerate ([ input (). split () for  _  in [ 0 ]* n ]), key = lambda  x :( o [ x [ 1 ][ 1 ][ 2 ]], x [ 0 ])) for  x  in  a : print ( x [ 1 ][ 0 ])"
65,65A - Harry Potter and Three Spells,"a ,  b ,  c ,  d ,  e ,  f  =  map ( int ,  input (). split ()) print ( 'Ron'   if  a  *  e  *  c  <  f  *  d  *  b  or   ( c  ==   0   and  d )   or   ( a  ==   0   and  b  and  d )   else   'Hermione' )"
66,66A - Petya and Java,"n = int ( input ()) s = ""byte"" if  n > 127 : s = ""short"" if  n > 32767 : s = ""int"" if  n >= 2 ** 31 : s = ""long"" if  n >= 2 ** 63 : s = ""BigInteger"" print ( s )"
67,67A - Partial Teacher,"n = int ( input ()) s = input () w =[ 1 ]* n for  i  in  range ( n - 1 ):      if  s [ i ]== '=' :         w [ i + 1 ]= w [ i ]      elif  s [ i ]== 'R' :          if  w [ i + 1 ]<= w [ i ]:             w [ i + 1 ]= w [ i ]+ 1      else :          if  w [ i ]<= w [ i + 1 ]:             w [ i ]= w [ i + 1 ]+ 1 for  i  in  range ( n - 2 ,- 1 ,- 1 ):      if  s [ i ]== '=' :         w [ i ]= w [ i + 1 ]      elif  s [ i ]== 'R' :          if  w [ i + 1 ]== w [ i ]:             w [ i + 1 ]= w [ i ]+ 1      else :          if  w [ i ]<= w [ i + 1 ]:             w [ i ]= w [ i + 1 ]+ 1 for  i  in  range ( n ):      print ( w [ i ], end = ' ' )"
68,68A - Irrational problem,"* l ,  a ,  b  =  map ( int ,  input (). split ()) print ( max ( 0 ,  min ( b  +   1 ,   * l )   -  a ))"
69,69A - Young Physicist,"print ( 'YNEOS' [ any ( map ( sum , zip (*[ map ( int , input (). split ()) for  x  in ' ' * int ( input ())]))):: 2 ])"
70,70A - Cookies,"print ( pow ( 3 , max ( int ( input ())- 1 , 0 ), 1000003 ))"
71,71A - Way Too Long Words,"for  _  in   [ 0 ]* int ( input ()):     s = input (); l = len ( s )- 2 ; print ([ s , s [ 0 ]+ str ( l )+ s [- 1 ]][ l > 8 ])"
73,73A - The Elder Trolls IV: Oblivon,"x ,  y ,  z ,  k  =  map ( int ,  input (). split ()) x ,  y ,  z  =  sorted (( x ,  y ,  z )) a  =  min ( k  //   3 ,  x  -   1 ) b  =  min (( k  -  a )   //   2 ,  y  -   1 ) c  =  min ( k  -  a  -  b ,  z  -   1 ) print (( a  +   1 )   *   ( b  +   1 )   *   ( c  +   1 ))"
74,74A - Room Leader,"a =[] for  s  in   [* open ( 0 )][ 1 :]:   s = s . split ()   a +=[[ s [ 0 ],* map ( int , s [ 1 :])]] print ( max ( a , key = lambda  x : x [ 1 ]* 100 - x [ 2 ]* 50 + sum ( x [ 3 :]))[ 0 ])"
75,75A - Life Without Zeros,"I = lambda  x : int ( str ( x ). replace ( '0' , '' )) a = int ( input ()) b = int ( input ()) print ( ""YNEOS"" [ I ( a )+ I ( b )!= I ( a + b ):: 2 ])"
77,77A - Heroes,"R = range S = str . split I = input L = S ( 'Anka Chapay Cleo Troll Dracul Snowy Hexadecimal' ) h ={} for  i  in  R ( 7 ): h [ L [ i ]]= i d =[[] for  i  in  R ( 9 )] for  z  in   '0' * int ( I ()): a , _ , b = S ( I ()); d [ h [ a ]]+=[ h [ b ]] a , b , c = map ( int , S ( I ())) o =[ 10 ** 9 , 0 ] def  C ( q , w , e , n ):      if  n == 7 :          if   not ( q  and  w  and  e ): return         p =[ a // len ( q ), b // len ( w ), c //( len ( e ))]; p = max ( p )- min ( p ); l = sum ( k  in  g  for  g  in ( q , w , e ) for  h  in  g  for  k  in  d [ h ]); global  o          if  o [ 0 ]> p  or  o [ 0 ]== p  and  o [ 1 ]< l : o = p , l      else : C ( q +[ n ], w , e , n + 1 ); C ( q , w +[ n ], e , n + 1 ); C ( q , w , e +[ n ], n + 1 ) C ([],[],[], 0 ) print ( o [ 0 ], o [ 1 ])"
78,78A - Haiku,"r = 0 for  i  in   [ 0 , 1 , 2 ]: r |= sum ( x  in   'aeiou'   for  x  in  input ())!= 5 + i % 2 * 2 print ( 'YNEOS' [ r :: 2 ])"
79,79A - Bus Game,"x ,  y  =  map ( int ,  input (). split ())   c  =  min ( x  //   2 ,  y  //   24 ) x  -=   2   *  c y  -=   24   *  c   c  =  min ( x  //   3 ,  y  //   14 ) x  -=   3   *  c y  -=   14   *  c   c  =  min ( x  //   4 ,  y  //   4 ) x  -=   4   *  c y  -=   4   *  c   c  =  min ( x ,  y  //   34 ) x  -=   1   *  c y  -=   34   *  c   c  =  y  //   44 y  -=   44   *  c   if  y  >=   2   and   10   *  x  +  y  >=   22 :      print ( 'Ciel' ) else :      print ( 'Hanako' )"
80,80A - Panoramix's Prediction,"f = lambda  x : all ( x % i  for  i  in  range ( 2 , x )) n , m = map ( int , input (). split ()) print ([ 'NO' , 'YES' ][ f ( m ) and  all ( not  f ( i ) for  i  in  range ( n + 1 , m ))])"
81,81A - Plug-in,s =[] for  c  in  input ():      if  s  and  c == s [- 1 ]: s . pop ()      else : s +=[ c ] print ( '' . join ( s ))
82,82A - Double Cola,"n = int ( input ())- 1 while  n > 4 : n = n - 5 >> 1 print ( ""SLPRHheeaoeonjwlnneadaysror hdnd"" [ n :: 5 ])"
83,84B - Magical Array,"n = int ( input ())- 1 while  n > 4 : n = n - 5 >> 1 print ( ""SLPRHheeaoeonjwlnneadaysror hdnd"" [ n :: 5 ])"
84,84A - Toy Army,print ( int ( input ())// 2 * 3 )
85,85A - Domino,"n  =  int ( input ()) k  =  n  //   4 if  n  %   2 :      if   ( n  -   1 )   %   4 :         a  =   'aabb'   *  k  +   'aac'         b  =   'bbaa'   *  k  +   'bbc'         c  =   'dee'   +   'ffee'   *  k         d  =   'dff'   +   'eeff'   *  k      else :         a  =   'aabb'   *  k  +   'c'         b  =   'bbaa'   *  k  +   'c'         c  =   'd'   +   'ffee'   *  k         d  =   'd'   +   'eeff'   *  k      print ( '\n' . join (( a ,  b ,  c ,  d ))) else :           if  n  %   4 :                  a  =   'aabb'   *  k  +   'aa'         b  =   'c'   +   'ddcc'   *  k  +   'd'         c  =   'c'   +   'eeff'   *  k  +   'd'      else :         a  =   'aabb'   *  k         b  =   'c'   +   'ddcc'   *   ( k  -   1 )   +   'ddc'         c  =   'c'   +   'eeff'   *   ( k  -   1 )   +   'eec'      print ( '\n' . join (( a ,  b ,  c ,  a )))"
86,86A - Reflection,"l , r = map ( int , input (). split ( "" "" )) x = len ( str ( r )) m = '9' * x m = int ( m ) m1 = '1' + '0' *( x - 1 ) m1 = int ( m1 ) ans = max ( l *( m - l ), r *( m - r )) if  l <= m1 <= r :     ans = max ( ans , m1 *( m - m1 ))   if  l <= m // 2 <= r :     ans = max ( ans ,( m // 2 )*( m - m // 2 ))   if  l <= m // 2 + 1 <= r :     ans = max ( ans ,( m // 2 + 1 )*( m - m // 2 - 1 ))   print ( ans )"
87,87A - Trains,"from  math  import   * a ,  b  =  map ( int ,  input (). split ()) print ( 'Equal'   if  gcd ( a ,  b )   ==  abs ( b  -  a )   else   'Dasha'   if  a  <  b  else   'Masha' )"
88,88A - Chord,"NOTES  =   'C C# D D# E F F# G G# A B H' . split ()   a ,  b ,  c  =  sorted ( map ( NOTES . index ,  input (). split ())) x ,  y  =  b - a ,  c - b   if   ( x , y )   in   (( 3 , 5 ),   ( 4 , 3 ),   ( 5 , 4 )):      print ( 'major' ) elif   ( x , y )   in   (( 3 , 4 ),   ( 4 , 5 ),   ( 5 , 3 )):      print ( 'minor' ) else :      print ( 'strange' )"
89,89A - Robbery,"z = lambda :  list ( map ( int , input (). split ())) n , m , k = z () print ( n % 2 * min ( m //( n // 2 + 1 )* k ,   * z ()[:: 2 ]))"
90,90A - Cableway,"r , g , b = map ( int , input (). split ()) f = lambda  x :( 0 -- x // 2 - 1 )* 3 print ( max ( f ( r ), 1 + f ( g ), 2 + f ( b ))+ 30 )"
91,91A - Newspaper Headline,"from  bisect  import  bisect_right a ,  b ,  c  =  input (),  input (),   'abcdefghijklmnopqrstuvwxyz' p  =   { i :   []   for  i  in  c } for  i ,  j  in  enumerate ( a ):  p [ j ]. append ( i ) if  any ( j  in  b  and   not  p [ j ]   for  j  in  c ):   print (- 1 ) else :     k ,  s  =   - 1 ,   1      for  j  in  b :         q  =  p [ j ]          if  k  <  q [- 1 ]:  k  =  q [ bisect_right ( q ,  k )]          else :  k ,  s  =  q [ 0 ],  s  +   1      print ( s )"
92,92A - Chips,"n , m = map ( int , input (). split ()) i = 0 while  m > i : m , i = m - i - 1 ,( i + 1 )% n print ( m )"
93,93A - Frames,"n ,  m ,  a ,  b  =  map ( int ,  input (). split ()) a  -=   1 x ,  y  =  a  %  m ,  b  %  m d  =  b  //  m  -  a  //  m if  b  ==  n  and  y :  d  +=   1 u ,  v  =  x  ==   0 ,  y  ==   0   or  b  ==  n print ( 1   if  u  and  v  or  d  <=  v  else   2   if  x  ==  y  or  u  or  v  or  d  ==   1   else   3 )"
94,94A - Restoring Password,"a  =  input () b  =   [ input ()   for  i  in  range ( 10 )] print (*[ b . index ( a [ i : i  +   10 ])   for  i  in  range ( 0 ,   80 ,   10 )],  sep = '' )"
95,96C - Hockey,"a  =  input () b  =   [ input ()   for  i  in  range ( 10 )] print (*[ b . index ( a [ i : i  +   10 ])   for  i  in  range ( 0 ,   80 ,   10 )],  sep = '' )"
96,96A - Football,"s = input (); print ([ ""NO"" , ""YES"" ][ 7 * ""1"" in  s  or   7 * ""0"" in  s ])"
98,99C - Help Victoria the Wise,"s = input (); print ([ ""NO"" , ""YES"" ][ 7 * ""1"" in  s  or   7 * ""0"" in  s ])"
99,99A - Help Far Away Kingdom,a = input (). split ( '.' ) if  a [ 0 ][- 1 ]== '9' : print ( 'GOTO Vasilisa.' ) else : print ( int ( a [ 0 ])+ int ( a [ 1 ][ 0 ] in '56789' ))
101,101A - Homework,"I = input s = I () C ={} for  x  in  set ( s ): C [ x ]= s . count ( x ) k = int ( I ()) t = sorted ( set ( s ), key = lambda  x : C [ x ]) while  t  and  C [ t [ 0 ]]<= k : k -= C [ t [ 0 ]]; s = s . replace ( t [ 0 ], '' ); t = t [ 1 :] print ( len ( set ( s ))) print ( s )"
102,102A - Clothes,"I = lambda : map ( int , input (). split ()) n , m = I () N = list ( I ()) p = set () for  i  in  range ( m ): 	x , y = I (); x -= 1 ; y -= 1 	p . add (( x , y ) if  x < y  else ( y , x )) r = 1e9 for  i  in  range ( n ): 	 for  j  in  range ( i ): 		 for  k  in  range ( j ): 			 if ( j , i ) in  p  and ( k , i ) in  p  and ( k , j ) in  p : 				r  =  min ( r , N [ i ]+ N [ j ]+ N [ k ]) print (- 1   if  r > 1e8   else  r )"
103,104B - Testing Pants for Sadness,"I = lambda : map ( int , input (). split ()) n , m = I () N = list ( I ()) p = set () for  i  in  range ( m ): 	x , y = I (); x -= 1 ; y -= 1 	p . add (( x , y ) if  x < y  else ( y , x )) r = 1e9 for  i  in  range ( n ): 	 for  j  in  range ( i ): 		 for  k  in  range ( j ): 			 if ( j , i ) in  p  and ( k , i ) in  p  and ( k , j ) in  p : 				r  =  min ( r , N [ i ]+ N [ j ]+ N [ k ]) print (- 1   if  r > 1e8   else  r )"
104,104A - Blackjack,a = int ( input ()) print (( 10 < a < 22 )* 4 +( a == 20 )* 11 )
